Status_of_existing_checking_account,Duration,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate,Personal_status_sex,Other_debtors_guarantors,Present_residence_since,Property,Age,Other_installment_plans,Housing,Number_of_existing_credits,Job,Number_of_people_liable,Telephone,Foreign_worker,Credit_risk
No checking account,9,Critical account,Furniture/equipment,2406,< 100 DM,Unemployed,2,Male single,None,3,Car/other,31,None,Own,1,Management/self-employed,1,None,Yes,Good
0 <= ... < 200 DM,39,Delayed payments,Education,11760,100 <= ... < 500 DM,4 <= ... < 7 years,2,Male single,None,3,Unknown/No property,32,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,12,Existing credits paid back,Furniture/equipment,2578,< 100 DM,Unemployed,3,Female div/sep/married,None,4,Unknown/No property,55,None,For free,1,Management/self-employed,1,None,Yes,Good
< 0 DM,36,Critical account,Furniture/equipment,2348,< 100 DM,1 <= ... < 4 years,3,Male married/widowed,None,2,Savings/Life insurance,46,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Car (new),1223,< 100 DM,>= 7 years,1,Male divorced/separated,None,1,Real estate,46,None,Rent,2,Skilled employee,1,None,Yes,Bad
No checking account,24,Critical account,Radio/TV,1516,>= 1000 DM,1 <= ... < 4 years,4,Female div/sep/married,None,1,Real estate,43,None,Own,2,Unskilled-resident,1,None,Yes,Good
No checking account,18,Existing credits paid back,Radio/TV,1473,< 100 DM,< 1 year,3,Male married/widowed,None,4,Real estate,39,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,18,Critical account,Business,1887,Unknown/No savings,1 <= ... < 4 years,4,Male married/widowed,None,4,Real estate,28,Bank,Own,2,Skilled employee,1,None,Yes,Good
No checking account,24,Delayed payments,Business,8648,< 100 DM,< 1 year,2,Male single,None,2,Car/other,27,Bank,Own,2,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,14,Delayed payments,Car (new),802,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Car/other,27,None,Own,2,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,18,Delayed payments,Car (new),2899,Unknown/No savings,>= 7 years,4,Male single,None,4,Car/other,43,None,Own,1,Skilled employee,2,None,Yes,Good
0 <= ... < 200 DM,24,Existing credits paid back,Radio/TV,2039,< 100 DM,< 1 year,1,Male married/widowed,None,1,Savings/Life insurance,22,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,24,Critical account,Car (used),2197,Unknown/No savings,4 <= ... < 7 years,4,Male single,None,4,Car/other,43,None,Own,2,Skilled employee,2,"Yes, registered",Yes,Good
< 0 DM,15,Existing credits paid back,Radio/TV,1053,< 100 DM,< 1 year,4,Male married/widowed,None,2,Real estate,27,None,Own,1,Skilled employee,1,None,No,Good
No checking account,24,Existing credits paid back,Radio/TV,3235,500 <= ... < 1000 DM,>= 7 years,3,Male divorced/separated,None,2,Car/other,26,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,12,Critical account,Car (new),939,500 <= ... < 1000 DM,4 <= ... < 7 years,4,Male married/widowed,None,2,Real estate,28,None,Own,3,Skilled employee,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,24,Existing credits paid back,Radio/TV,1967,< 100 DM,>= 7 years,4,Female div/sep/married,None,4,Car/other,20,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,33,Critical account,Car (used),7253,< 100 DM,4 <= ... < 7 years,3,Male single,None,2,Car/other,35,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,12,Critical account,Business,2292,< 100 DM,Unemployed,4,Male single,None,2,Car/other,42,Stores,Own,2,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,10,Existing credits paid back,Car (new),1597,500 <= ... < 1000 DM,1 <= ... < 4 years,3,Male single,None,2,Unknown/No property,40,None,Rent,1,Unskilled-resident,2,None,No,Good
< 0 DM,24,Existing credits paid back,Car (new),1381,Unknown/No savings,1 <= ... < 4 years,4,Female div/sep/married,None,2,Savings/Life insurance,35,None,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,36,Critical account,Car (used),5842,< 100 DM,>= 7 years,2,Male single,None,2,Savings/Life insurance,35,None,Own,2,Skilled employee,2,"Yes, registered",Yes,Good
< 0 DM,12,Existing credits paid back,Car (new),2579,< 100 DM,< 1 year,4,Male single,None,1,Real estate,33,None,Own,1,Unskilled-resident,2,None,Yes,Bad
< 0 DM,18,Delayed payments,Education,8471,Unknown/No savings,1 <= ... < 4 years,1,Female div/sep/married,None,2,Car/other,23,None,Rent,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,21,Existing credits paid back,Car (new),2782,500 <= ... < 1000 DM,4 <= ... < 7 years,1,Female div/sep/married,None,2,Car/other,31,Bank,Own,1,Management/self-employed,1,None,Yes,Good
0 <= ... < 200 DM,18,Existing credits paid back,Car (new),1042,Unknown/No savings,1 <= ... < 4 years,4,Female div/sep/married,None,2,Savings/Life insurance,33,None,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,15,Existing credits paid back,Car (new),3186,>= 1000 DM,4 <= ... < 7 years,2,Female div/sep/married,None,3,Car/other,20,None,Rent,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Car (used),2028,Unknown/No savings,1 <= ... < 4 years,4,Male single,None,2,Car/other,30,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Critical account,Car (new),958,< 100 DM,4 <= ... < 7 years,2,Male single,None,3,Real estate,47,None,Own,2,Unskilled-resident,2,None,Yes,Good
No checking account,21,Delayed payments,Furniture/equipment,1591,100 <= ... < 500 DM,4 <= ... < 7 years,4,Male single,None,3,Real estate,34,None,Own,2,Management/self-employed,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Furniture/equipment,2762,Unknown/No savings,>= 7 years,1,Female div/sep/married,None,2,Savings/Life insurance,25,Bank,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,18,Existing credits paid back,Car (used),2779,< 100 DM,1 <= ... < 4 years,1,Male married/widowed,None,3,Car/other,21,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,28,Critical account,Radio/TV,2743,< 100 DM,>= 7 years,4,Male single,None,2,Car/other,29,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,18,Critical account,Radio/TV,1149,>= 1000 DM,1 <= ... < 4 years,4,Male single,None,3,Real estate,46,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,9,Existing credits paid back,Furniture/equipment,1313,< 100 DM,>= 7 years,1,Male single,None,4,Car/other,20,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,18,Critical account,Repairs,1190,< 100 DM,Unemployed,2,Female div/sep/married,None,4,Unknown/No property,55,None,For free,3,Unemployed/non-resident,2,None,Yes,Bad
No checking account,5,Existing credits paid back,Business,3448,< 100 DM,4 <= ... < 7 years,1,Male single,None,4,Real estate,74,None,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,24,Existing credits paid back,Other,11328,< 100 DM,1 <= ... < 4 years,2,Male single,Co-applicant,3,Car/other,29,Bank,Own,2,Management/self-employed,1,"Yes, registered",Yes,Bad
< 0 DM,6,Critical account,Furniture/equipment,1872,< 100 DM,Unemployed,4,Male single,None,4,Unknown/No property,36,None,For free,3,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,24,Critical account,Repairs,2058,< 100 DM,1 <= ... < 4 years,4,Male divorced/separated,None,2,Real estate,33,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,9,Existing credits paid back,Furniture/equipment,2136,< 100 DM,1 <= ... < 4 years,3,Male single,None,2,Real estate,25,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Radio/TV,1484,Unknown/No savings,1 <= ... < 4 years,2,Male married/widowed,None,1,Real estate,25,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,6,Existing credits paid back,Repairs,660,500 <= ... < 1000 DM,4 <= ... < 7 years,2,Male married/widowed,None,4,Real estate,23,None,Rent,1,Unskilled-resident,1,None,Yes,Good
No checking account,24,Critical account,Car (new),1287,>= 1000 DM,>= 7 years,4,Female div/sep/married,None,4,Real estate,37,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,42,Critical account,Repairs,3394,< 100 DM,Unemployed,4,Male single,Co-applicant,4,Car/other,65,None,Own,2,Unemployed/non-resident,1,None,Yes,Good
>= 200 DM/salary assigned,12,All credits paid back,Business,609,< 100 DM,< 1 year,4,Female div/sep/married,None,1,Real estate,26,None,Own,1,Unemployed/non-resident,1,None,Yes,Bad
No checking account,12,Existing credits paid back,Car (new),1884,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,39,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,12,Existing credits paid back,Furniture/equipment,1620,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,Co-applicant,3,Savings/Life insurance,30,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,20,Delayed payments,Other,2629,< 100 DM,1 <= ... < 4 years,2,Male single,None,3,Car/other,29,Bank,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,12,Existing credits paid back,Education,719,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,41,Bank,Own,1,Unskilled-resident,2,None,Yes,Bad
0 <= ... < 200 DM,48,Critical account,Furniture/equipment,5096,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,3,Car/other,30,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,9,Critical account,Education,1244,Unknown/No savings,>= 7 years,4,Female div/sep/married,None,4,Savings/Life insurance,41,None,Rent,2,Unskilled-resident,1,None,Yes,Good
< 0 DM,36,Existing credits paid back,Car (new),1842,< 100 DM,< 1 year,4,Female div/sep/married,None,4,Car/other,34,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,7,Existing credits paid back,Radio/TV,2576,< 100 DM,1 <= ... < 4 years,2,Male single,Guarantor,2,Real estate,35,None,Own,1,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,12,Existing credits paid back,Furniture/equipment,1424,Unknown/No savings,>= 7 years,3,Female div/sep/married,None,4,Real estate,55,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,15,Delayed payments,Repairs,1512,>= 1000 DM,1 <= ... < 4 years,3,Male married/widowed,None,3,Savings/Life insurance,61,Stores,Own,2,Skilled employee,1,None,Yes,Bad
No checking account,36,Critical account,Car (used),11054,Unknown/No savings,1 <= ... < 4 years,4,Male single,None,2,Car/other,30,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,6,Existing credits paid back,Radio/TV,518,< 100 DM,1 <= ... < 4 years,3,Female div/sep/married,None,1,Real estate,29,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,12,No credits/all paid,Furniture/equipment,2759,< 100 DM,>= 7 years,2,Male single,None,4,Savings/Life insurance,34,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,24,Existing credits paid back,Car (used),2670,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,35,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,24,Existing credits paid back,Car (new),4817,< 100 DM,4 <= ... < 7 years,2,Male single,Co-applicant,3,Savings/Life insurance,31,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,24,Existing credits paid back,Car (used),2679,< 100 DM,< 1 year,4,Female div/sep/married,None,1,Unknown/No property,29,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,11,Critical account,Car (new),3905,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Real estate,36,None,Rent,2,Skilled employee,2,None,Yes,Good
< 0 DM,12,Existing credits paid back,Car (used),3386,< 100 DM,>= 7 years,3,Male single,None,4,Unknown/No property,35,None,For free,1,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,6,Existing credits paid back,Domestic appliances,343,< 100 DM,< 1 year,4,Female div/sep/married,None,1,Real estate,27,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,18,Existing credits paid back,Radio/TV,4594,< 100 DM,< 1 year,3,Male single,None,2,Car/other,32,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,36,Existing credits paid back,Furniture/equipment,3620,< 100 DM,1 <= ... < 4 years,1,Male single,Guarantor,2,Savings/Life insurance,37,None,Own,1,Skilled employee,2,None,Yes,Good
< 0 DM,15,Existing credits paid back,Car (new),1721,< 100 DM,< 1 year,2,Male single,None,3,Real estate,36,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Furniture/equipment,3017,< 100 DM,< 1 year,3,Female div/sep/married,None,1,Real estate,34,None,Rent,1,Management/self-employed,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Retraining,754,Unknown/No savings,>= 7 years,4,Male single,None,4,Savings/Life insurance,38,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,18,Existing credits paid back,Business,1950,< 100 DM,4 <= ... < 7 years,4,Male single,None,1,Car/other,34,Stores,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,24,Existing credits paid back,Car (used),2924,< 100 DM,1 <= ... < 4 years,3,Male single,Guarantor,4,Unknown/No property,63,Bank,Own,1,Skilled employee,2,"Yes, registered",Yes,Good
< 0 DM,24,Delayed payments,Radio/TV,1659,< 100 DM,< 1 year,4,Female div/sep/married,None,2,Car/other,29,None,Rent,1,Unskilled-resident,1,"Yes, registered",Yes,Bad
No checking account,48,Delayed payments,Radio/TV,7238,Unknown/No savings,>= 7 years,3,Male single,None,3,Car/other,32,Bank,Own,2,Skilled employee,2,None,Yes,Good
No checking account,33,Delayed payments,Business,2764,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,2,Car/other,26,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,24,Delayed payments,Car (used),4679,< 100 DM,4 <= ... < 7 years,3,Male single,None,3,Car/other,35,None,Own,2,Unskilled-resident,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,24,Existing credits paid back,Radio/TV,3092,100 <= ... < 500 DM,< 1 year,3,Male married/widowed,None,2,Car/other,22,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Bad
< 0 DM,6,Existing credits paid back,Education,448,< 100 DM,< 1 year,4,Female div/sep/married,None,4,Savings/Life insurance,23,None,Own,1,Skilled employee,1,None,Yes,Bad
< 0 DM,9,Existing credits paid back,Car (new),654,< 100 DM,1 <= ... < 4 years,4,Male single,None,3,Car/other,28,None,Own,1,Unskilled-resident,1,None,Yes,Bad
No checking account,6,Existing credits paid back,Retraining,1238,Unknown/No savings,Unemployed,4,Male single,None,4,Savings/Life insurance,36,None,Own,1,Management/self-employed,2,"Yes, registered",Yes,Good
0 <= ... < 200 DM,18,Critical account,Radio/TV,1245,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,None,2,Car/other,33,None,Own,1,Skilled employee,1,None,Yes,Bad
< 0 DM,18,No credits/all paid,Furniture/equipment,3114,< 100 DM,< 1 year,1,Female div/sep/married,None,4,Savings/Life insurance,26,None,Rent,1,Skilled employee,1,None,Yes,Bad
No checking account,39,Existing credits paid back,Car (used),2569,500 <= ... < 1000 DM,1 <= ... < 4 years,4,Male single,None,4,Car/other,24,None,Own,1,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,24,Existing credits paid back,Radio/TV,5152,< 100 DM,4 <= ... < 7 years,4,Male single,None,2,Car/other,25,Bank,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Business,1037,100 <= ... < 500 DM,4 <= ... < 7 years,3,Male single,None,4,Real estate,39,None,Own,1,Unskilled-resident,1,None,Yes,Good
< 0 DM,15,Critical account,Furniture/equipment,1478,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,44,None,Own,2,Skilled employee,2,"Yes, registered",Yes,Good
0 <= ... < 200 DM,12,Critical account,Radio/TV,3573,< 100 DM,1 <= ... < 4 years,1,Female div/sep/married,None,1,Real estate,23,None,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,24,Existing credits paid back,Car (new),1201,< 100 DM,< 1 year,4,Male single,None,1,Savings/Life insurance,26,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,30,Existing credits paid back,Furniture/equipment,3622,>= 1000 DM,>= 7 years,4,Female div/sep/married,None,4,Savings/Life insurance,57,None,Rent,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,15,Delayed payments,Furniture/equipment,960,>= 1000 DM,4 <= ... < 7 years,3,Female div/sep/married,None,2,Savings/Life insurance,30,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,12,Critical account,Car (new),1163,500 <= ... < 1000 DM,1 <= ... < 4 years,4,Male single,None,4,Real estate,44,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,6,Delayed payments,Car (new),1209,< 100 DM,Unemployed,4,Male single,None,4,Savings/Life insurance,47,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,12,Existing credits paid back,Radio/TV,3077,< 100 DM,1 <= ... < 4 years,2,Male single,None,4,Car/other,52,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,24,Existing credits paid back,Car (new),3757,< 100 DM,>= 7 years,4,Female div/sep/married,Co-applicant,4,Unknown/No property,62,None,For free,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,10,Existing credits paid back,Car (new),1418,100 <= ... < 500 DM,1 <= ... < 4 years,3,Male single,None,2,Real estate,35,None,Rent,1,Unskilled-resident,1,None,No,Good
No checking account,6,Existing credits paid back,Car (new),3518,< 100 DM,1 <= ... < 4 years,2,Male single,Guarantor,3,Savings/Life insurance,26,None,Rent,1,Skilled employee,1,None,Yes,Good
No checking account,12,Critical account,Radio/TV,1934,< 100 DM,>= 7 years,2,Male single,None,2,Unknown/No property,26,None,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,27,No credits/all paid,Business,8318,< 100 DM,>= 7 years,2,Female div/sep/married,None,4,Unknown/No property,42,None,For free,2,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,6,Critical account,Radio/TV,1237,100 <= ... < 500 DM,1 <= ... < 4 years,1,Female div/sep/married,None,1,Savings/Life insurance,27,None,Own,2,Skilled employee,1,None,Yes,Good
